age,count
0 ,3701318
1 ,3894732
2 ,3991657
3 ,4053647
4 ,4095439
5 ,3875888
6 ,3928670
7 ,4006598
8 ,4114035
9 ,4168716
10 ,4226243
11 ,4204322
12 ,4196010
13 ,4174113
14 ,4202656
15 ,4181511
16 ,4205226
17 ,4179520
18 ,4487718
19 ,4178231
20 ,4539390
21 ,4455318
22 ,4355921
23 ,4319813
24 ,4320316
25 ,4748162
26 ,4627683
27 ,4605799
28 ,4568056
29 ,4482901
30 ,4668146
31 ,4291911
32 ,4368998
33 ,4305475
34 ,4294363
35 ,4494394
36 ,4259878
37 ,4178764
38 ,4137565
39 ,4019979
40 ,4292284
41 ,3856248
42 ,3944340
43 ,3902619
44 ,3969395
45 ,4225429
46 ,4105146
47 ,4130545
48 ,4158953
49 ,4117235
50 ,4353216
51 ,4072582
52 ,4234974
53 ,4300753
54 ,4384679
55 ,4443158
56 ,4313310
57 ,4283882
58 ,4300230
59 ,4244225
60 ,4359784
61 ,4090159
62 ,4030938
63 ,3905946
64 ,3789865
65 ,3651617
66 ,3443328
67 ,3349362
68 ,3282367
69 ,3085786
70 ,2984780
71 ,2711024
72 ,2555605
73 ,2315268
74 ,2177220
75 ,2103979
76 ,1920371
77 ,1761560
78 ,1637637
79 ,1505092
80 ,1440110
81 ,1293806
82 ,1198953
83 ,1094797
84 ,1009653
85 ,945996
86 ,852109
87 ,771000
88 ,683561
89 ,541882
90 ,403765
91 ,178948
92 ,272307
93 ,331213
94 ,896689
95 ,364762
96 ,12968
97 ,1303
98 ,0
99 ,0
